Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
2,18,2,2025-04-22,OKC,,MEM,W 118-99,1,32:37,3,9,0.333,2,7,0.286,1,2,0.500,0.444,0,0,,3,6,9,0,0,0,0,5,8,4.8,8
3,19,3,2025-04-24,OKC,@,MEM,W 114-108,1,35:12,1,5,0.200,0,4,0.000,1,1,1.000,0.200,0,2,0.000,1,5,6,0,1,1,1,4,2,-0.6,8
4,20,4,2025-04-26,OKC,@,MEM,W 117-115,1,28:29,0,4,0.000,0,4,0.000,0,0,,0.000,4,4,1.000,1,1,2,0,0,0,0,3,4,1.0,2
5,21,5,2025-05-05,OKC,,DEN,L 119-121,1,29:40,4,9,0.444,4,9,0.444,0,0,,0.667,2,2,1.000,1,1,2,1,1,1,1,4,14,10.1,-21
6,22,6,2025-05-07,OKC,,DEN,W 149-106,1,26:38,4,13,0.308,2,9,0.222,2,4,0.500,0.385,2,2,1.000,0,1,1,0,1,1,0,3,12,5.3,34
7,23,7,2025-05-09,OKC,@,DEN,L 104-113 (OT),1,33:55,1,6,0.167,0,4,0.000,1,2,0.500,0.167,1,2,0.500,3,1,4,3,0,1,1,6,3,0.6,-7
8,24,8,2025-05-11,OKC,@,DEN,W 92-87,1,19:12,2,10,0.200,2,10,0.200,0,0,,0.300,0,0,,1,1,2,0,0,0,1,1,6,-0.6,-6
9,25,9,2025-05-13,OKC,,DEN,W 112-105,1,28:14,4,8,0.500,4,8,0.500,0,0,,0.750,0,0,,1,2,3,1,0,0,2,3,12,6.8,1
10,26,10,2025-05-15,OKC,@,DEN,L 107-119,1,21:01,4,9,0.444,2,7,0.286,2,2,1.000,0.556,0,0,,1,1,2,1,1,0,1,2,10,6.2,-18
11,27,11,2025-05-18,OKC,,DEN,W 125-93,1,17:15,2,7,0.286,1,5,0.200,1,2,0.500,0.357,1,2,0.500,4,1,5,2,2,0,2,3,6,4.8,3
12,28,12,2025-05-20,OKC,,MIN,W 114-88,1,27:35,2,4,0.500,1,3,0.333,1,1,1.000,0.625,0,0,,0,1,1,0,2,1,1,5,5,3.0,7
13,29,13,2025-05-22,OKC,,MIN,W 118-103,1,34:39,3,9,0.333,2,7,0.286,1,2,0.500,0.444,1,2,0.500,2,6,8,4,2,0,0,2,9,10.7,29
14,30,14,2025-05-24,OKC,@,MIN,L 101-143,1,21:45,2,4,0.500,2,4,0.500,0,0,,0.750,0,0,,0,1,1,0,0,0,2,3,6,1.1,-22
15,31,15,2025-05-26,OKC,@,MIN,W 128-126,1,30:14,1,3,0.333,1,3,0.333,0,0,,0.500,1,2,0.500,1,3,4,0,2,1,2,6,4,1.8,4
16,32,16,2025-05-28,OKC,,MIN,W 124-94,1,38:03,4,11,0.364,4,10,0.400,0,1,0.000,0.545,0,0,,1,3,4,1,3,0,2,2,12,8.4,24
17,33,17,2025-06-05,OKC,,IND,L 110-111,1,36:21,5,10,0.500,5,9,0.556,0,1,0.000,0.750,0,0,,2,2,4,1,4,2,0,3,15,16.9,-3
18,34,18,2025-06-08,OKC,,IND,W 123-107,1,26:25,1,3,0.333,1,3,0.333,0,0,,0.500,0,0,,0,2,2,1,1,0,0,5,3,1.6,-3
19,35,19,2025-06-11,OKC,@,IND,L 107-116,1,35:46,4,8,.500,4,5,.800,0,3,.000,.750,0,0,,1,3,4,0,0,0,0,3,12,8.4,1
20,36,20,2025-06-13,OKC,@,IND,W 111-104,1,32:35,2,2,1.000,1,1,1.000,1,1,1.000,1.250,1,2,.500,0,3,3,0,1,0,1,4,6,4.3,3
21,37,21,2025-06-16,OKC,,IND,W 120-109,1,32:23,3,7,.429,3,6,.500,0,1,.000,.643,0,0,,5,3,8,3,2,1,1,4,9,11.9,14

