season,team,espn_team_id,date,opponent,result,team_score,opp_score,is_win
2026,Florida,57,"Sat, Jan 24",Auburn,L 76-67,76,67,False
2026,Florida,57,"Wed, Jan 28",South Carolina,W 95-48,95,48,True
2026,Florida,57,"Sun, Feb 1",Alabama,W 100-77,100,77,True
2026,Florida,57,"Sat, Feb 7",Texas A&M,W 86-67,86,67,True
2026,Florida,57,"Wed, Feb 11",Georgia,W 86-66,86,66,True
2026,Florida,57,"Sat, Feb 14",Kentucky,W 92-83,92,83,True
2026,Florida,57,"Tue, Feb 17",South Carolina,W 76-62,76,62,True
2026,Florida,57,"Sat, Feb 21",Mississippi,W 94-75,94,75,True
2026,Florida,57,"Wed, Feb 25",Texas,W 84-71,84,71,True
2026,Florida,57,"Sat, Feb 28",Arkansas,W 111-77,111,77,True
2026,Florida,57,"Tue, Mar 3",Mississippi St,W 108-74,108,74,True
2026,Florida,57,"Sat, Mar 7",Kentucky,W 84-77,84,77,True
2026,Florida,57,"Fri, Mar 13",Kentucky,W 71-63,71,63,True
2026,Florida,57,"Sat, Mar 14",Vanderbilt,L 91-74,91,74,False
2026,Michigan,130,"Mon, Nov 3",Oakland,W 121-78,121,78,True
2026,Michigan,130,"Fri, Nov 14",TCU,W 67-63,67,63,True
2026,Michigan,130,"Wed, Nov 19",MTSU,W 86-61,86,61,True
2026,Michigan,130,"Mon, Nov 24",San Diego St,W 94-54,94,54,True
2026,Michigan,130,"Tue, Nov 25",Auburn,W 102-72,102,72,True
2026,Michigan,130,"Wed, Nov 26",Gonzaga,W 101-61,101,61,True
2026,Michigan,130,"Sat, Dec 6",Rutgers,W 101-60,101,60,True
2026,Michigan,130,"Tue, Dec 9",Villanova,W 89-61,89,61,True
2026,Michigan,130,"Sat, Dec 13",Maryland,W 101-83,101,83,True
2026,Michigan,130,"Sun, Dec 21",La Salle,W 102-50,102,50,True
2026,Michigan,130,"Mon, Dec 29",McNeese St,W 112-71,112,71,True
2026,Michigan,130,"Fri, Jan 2",USC,W 96-66,96,66,True
2026,Michigan,130,"Tue, Jan 6",Penn St,W 74-72,74,72,True
2026,Michigan,130,"Sat, Jan 10",Wisconsin,L 91-88,91,88,False
2026,Michigan,130,"Wed, Jan 14",Washington,W 82-72,82,72,True
2026,Michigan,130,"Sat, Jan 17",Oregon,W 81-71,81,71,True
2026,Michigan,130,"Tue, Jan 20",Indiana,W 86-72,86,72,True
2026,Michigan,130,"Fri, Jan 23",Ohio St,W 74-62,74,62,True
2026,Michigan,130,"Tue, Jan 27",Nebraska,W 75-72,75,72,True
2026,Michigan,130,"Fri, Jan 30",Michigan St,W 83-71,83,71,True
2026,Michigan,130,"Thu, Feb 5",Penn St,W 110-69,110,69,True
2026,Michigan,130,"Sun, Feb 8",Ohio St,W 82-61,82,61,True
2026,Michigan,130,"Wed, Feb 11",Northwestern,W 87-75,87,75,True
2026,Michigan,130,"Sat, Feb 14",UCLA,W 86-56,86,56,True
2026,Michigan,130,"Tue, Feb 17",Purdue,W 91-80,91,80,True
2026,Michigan,130,"Sat, Feb 21",Duke,L 68-63,68,63,False
2026,Michigan,130,"Tue, Feb 24",Minnesota,W 77-67,77,67,True
2026,Michigan,130,"Fri, Feb 27",Illinois,W 84-70,84,70,True
2026,Michigan,130,"Thu, Mar 5",Iowa,W 71-68,71,68,True
2026,Michigan,130,"Sun, Mar 8",Michigan St,W 90-80,90,80,True
2026,Michigan,130,"Fri, Mar 13",Ohio St,W 71-67,71,67,True
2026,Michigan,130,"Sat, Mar 14",Wisconsin,W 68-65,68,65,True
2026,Michigan,130,"Sun, Mar 15",Purdue,L 80-72,80,72,False
2026,Purdue,2509,"Tue, Nov 4",Evansville,W 82-51,82,51,True
