team,year,advanced_stats_source,has_sofascore_advanced,advanced_any_imputed,raw_last12mo_avg_possession,raw_last12mo_pass_completion_pct,raw_last12mo_set_piece_success_rate,raw_last12mo_shots_on_target_pct,last12mo_avg_possession,last12mo_pass_completion_pct,last12mo_set_piece_success_rate,last12mo_shots_on_target_pct,advanced_imputed_last12mo_avg_possession,advanced_imputed_last12mo_pass_completion_pct,advanced_imputed_last12mo_set_piece_success_rate,advanced_imputed_last12mo_shots_on_target_pct,pre_wc_elo,pre_wc_fifa_rank,fifa_rank_score,last12mo_win_pct,last12mo_avg_opponent_elo,last12mo_goals_for_per_match,last12mo_goals_against_per_match,last12mo_goal_diff_per_match,last12mo_matches_played,days_since_last_match,conf_UEFA,conf_CONMEBOL,conf_CONCACAF,conf_CAF,conf_AFC,conf_OFC,host_confederation_match,prior_wc_titles,prior_wc_finals,prior_wc_semifinals,prior_wc_appearances,is_defending_champion,is_host
Ivory Coast,2026,2026.0,True,False,58.142857142857,84.171974522293,33.333333333333336,27.835051546391753,58.142857142857,84.171974522293,33.333333333333336,27.835051546391753,False,False,False,False,,38.0,0.02631578947368421,0.6923076923076923,1440.6923076923076,2.1538461538461537,0.5384615384615384,1.6153846153846154,13.0,72.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
Czech Republic,2026,2026.0,True,False,55.3,80.109649122807,25.0,37.423312883435585,55.3,80.109649122807,25.0,37.423312883435585,False,False,False,False,1731.0,39.0,0.02564102564102564,0.375,1543.5,1.875,0.875,1.0,8.0,72.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Paraguay,2026,2026.0,True,False,37.944444444444,72.171991159333,11.11111111111111,33.83838383838384,37.944444444444,72.171991159333,11.11111111111111,33.83838383838384,False,False,False,False,1833.0,41.0,0.024390243902439025,0.375,1738.25,1.0,1.125,-0.125,8.0,72.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0
Panama,2026,2026.0,True,False,66.0,89.755902360944,60.0,39.39393939393939,66.0,89.755902360944,60.0,39.39393939393939,False,False,False,False,1742.0,44.0,0.022727272727272728,0.5,1518.642857142857,1.7142857142857142,0.8571428571428571,0.8571428571428571,14.0,72.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Tunisia,2026,2026.0,True,False,51.666666666667,77.219430485762,0.0,26.923076923076923,51.666666666667,77.219430485762,0.0,26.923076923076923,False,False,False,False,1641.0,49.0,0.02040816326530612,0.5,1521.4375,1.9375,0.8125,1.125,16.0,72.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
Uzbekistan,2026,2026.0,True,False,49.6,77.835051546392,0.0,27.941176470588236,49.6,77.835051546392,0.0,27.941176470588236,False,False,False,False,1735.0,51.0,0.0196078431372549,0.42857142857142855,1614.4285714285713,1.4285714285714286,0.7142857142857143,0.7142857142857143,7.0,73.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Qatar,2026,2026.0,True,False,53.857142857143,75.594451783355,57.142857142857146,41.25,53.857142857143,75.594451783355,57.142857142857146,41.25,False,False,False,False,1427.0,53.0,0.018867924528301886,0.1111111111111111,1498.2222222222222,1.0,1.7777777777777777,-0.7777777777777778,9.0,186.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Iraq,2026,2026.0,True,False,53.25,81.419855795896,50.0,28.8135593220339,53.25,81.419855795896,50.0,28.8135593220339,False,False,False,False,1582.0,55.0,0.01818181818181818,0.6363636363636364,1503.0,1.1818181818181819,0.7272727272727273,0.45454545454545453,11.0,72.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
South Africa,2026,2026.0,True,False,51.571428571429,82.347447073474,30.0,43.421052631578945,51.571428571429,82.347447073474,30.0,43.421052631578945,False,False,False,False,,57.0,0.017543859649122806,0.45454545454545453,1506.909090909091,1.6363636363636365,1.0,0.6363636363636364,11.0,72.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
Saudi Arabia,2026,2026.0,True,False,45.5,77.856635911994,100.0,36.0,45.5,77.856635911994,100.0,36.0,False,False,False,False,,58.0,0.017241379310344827,0.4117647058823529,1580.8823529411766,1.0,1.2352941176470589,-0.23529411764705882,17.0,72.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
Ghana,2026,2026.0,True,False,42.666666666667,79.359823399558,50.0,33.333333333333336,42.666666666667,79.359823399558,50.0,33.333333333333336,False,False,False,False,1509.0,60.0,0.016666666666666666,0.375,1589.0,1.25,1.375,-0.125,8.0,73.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
DR Congo,2026,2026.0,True,False,45.428571428571,80.575539568345,18.181818181818183,22.727272727272727,45.428571428571,80.575539568345,18.181818181818183,22.727272727272727,False,False,False,False,,61.0,0.01639344262295082,0.6666666666666666,1510.9166666666667,1.5,0.5833333333333334,0.9166666666666666,12.0,72.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Jordan,2026,2026.0,True,False,46.0,76.062879599857,33.333333333333336,40.0,46.0,76.062879599857,33.333333333333336,40.0,False,False,False,False,1687.0,67.0,0.014925373134328358,0.42857142857142855,1597.0,1.7857142857142858,1.4285714285714286,0.35714285714285715,14.0,72.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bosnia and Herzegovina,2026,2026.0,True,False,49.9,79.849694692344,0.0,33.125,49.9,79.849694692344,0.0,33.125,False,False,False,False,,68.0,0.014705882352941176,0.375,1621.0,2.375,1.125,1.25,8.0,72.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Cape Verde,2026,2026.0,True,False,53.8,82.027649769585,25.0,25.333333333333332,53.8,82.027649769585,25.0,25.333333333333332,False,False,False,False,,72.0,0.013888888888888888,0.375,1494.75,1.625,1.125,0.5,8.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Haiti,2026,2026.0,True,False,46.333333333333,76.072961373391,0.0,29.72972972972973,46.333333333333,76.072961373391,0.0,29.72972972972973,False,False,False,False,1542.0,83.0,0.012048192771084338,0.2727272727272727,1501.1818181818182,1.0909090909090908,1.0909090909090908,0.0,11.0,72.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Curaçao,2026,2026.0,True,True,53.666666666667,80.09828009828,,36.36363636363637,53.666666666667,80.09828009828,-1.0,36.36363636363637,False,False,True,False,1467.0,88.0,0.011363636363636364,0.2727272727272727,1501.7272727272727,1.4545454545454546,1.1818181818181819,0.2727272727272727,11.0,72.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
New Zealand,2026,2026.0,True,True,37.666666666667,69.125993189557,,16.666666666666668,37.666666666667,69.125993189557,-1.0,16.666666666666668,False,False,True,False,,91.0,0.01098901098901099,0.125,1784.125,0.875,1.625,-0.75,8.0,73.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
